,formula,structure,young_modulus,shear_modulus,bulk_modulus
0,Hf1 Zr2 Ta4 V1 C8,"Full Formula (Hf1 Zr2 Ta4 V1 C8)
Reduced Formula: HfZr2Ta4VC8
abc   :   9.060200   4.521583   4.513897
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a     b     c
---  ----  ---------  ----  ----
  0  C     -0          0.5   0
  1  C      0.5        0.5   0
  2  C      0.254757  -0     0
  3  C      0.745243  -0    -0
  4  C     -0         -0     0.5
  5  C      0.5       -0     0.5
  6  C      0.252084   0.5   0.5
  7  C      0.747916   0.5   0.5
  8  Ta     0.5       -0     0
  9  Ta    -0          0.5   0.5
 10  Ta     0.260889  -0     0.5
 11  Ta     0.739111  -0     0.5
 12  Zr     0.25513    0.5   0
 13  Zr     0.74487    0.5   0
 14  Hf    -0         -0     0
 15  V      0.5        0.5   0.5",474.384,194.084,284.518
1,Hf1 Zr2 Ta4 Nb1 C8,"Full Formula (Hf1 Zr2 Ta4 Nb1 C8)
Reduced Formula: HfZr2Ta4NbC8
abc   :   9.104641   4.550201   4.542237
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a     b     c
---  ----  ---------  ----  ----
  0  C     -0          0.5  -0
  1  C      0.5        0.5  -0
  2  C      0.253634  -0     0
  3  C      0.746366  -0    -0
  4  C     -0         -0     0.5
  5  C      0.5       -0     0.5
  6  C      0.248561   0.5   0.5
  7  C      0.751439   0.5   0.5
  8  Ta     0.5       -0    -0
  9  Ta    -0          0.5   0.5
 10  Ta     0.257515  -0     0.5
 11  Ta     0.742485  -0     0.5
 12  Zr     0.252043   0.5   0
 13  Zr     0.747957   0.5  -0
 14  Hf    -0         -0    -0
 15  Nb     0.5        0.5   0.5",476.092,194.288,288.77
2,Hf1 Zr2 Ta4 Ti1 C8,"Full Formula (Hf1 Zr2 Ta4 Ti1 C8)
Reduced Formula: HfZr2Ta4TiC8
abc   :   9.083782   4.534616   4.527924
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP           a    b     c
---  ----  --------  ---  ----
  0  C     0         0.5   0
  1  C     0.5       0.5   0
  2  C     0.253648  0     0
  3  C     0.746352  0     0
  4  C     0         0     0.5
  5  C     0.5       0     0.5
  6  C     0.251484  0.5   0.5
  7  C     0.748516  0.5   0.5
  8  Ta    0.5       0     0
  9  Ta    0         0.5   0.5
 10  Ta    0.257167  0     0.5
 11  Ta    0.742833  0     0.5
 12  Zr    0.253426  0.5   0
 13  Zr    0.746574  0.5  -0
 14  Hf    0         0     0
 15  Ti    0.5       0.5   0.5",454.302,184.115,284.378
3,Hf1 Zr2 Ta4 Mo1 C8,"Full Formula (Hf1 Zr2 Ta4 Mo1 C8)
Reduced Formula: HfZr2Ta4MoC8
abc   :   9.086688   4.530692   4.527169
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP           a     b     c
---  ----  --------  ----  ----
  0  C     0          0.5   0
  1  C     0.5        0.5   0
  2  C     0.2546     0     0
  3  C     0.7454     0    -0
  4  C     0          0     0.5
  5  C     0.5        0     0.5
  6  C     0.24773    0.5   0.5
  7  C     0.75227    0.5   0.5
  8  Ta    0.5        0     0
  9  Ta    0          0.5   0.5
 10  Ta    0.256756  -0     0.5
 11  Ta    0.743244  -0     0.5
 12  Zr    0.253503   0.5   0
 13  Zr    0.746497   0.5  -0
 14  Hf    0          0     0
 15  Mo    0.5        0.5   0.5",490.162,200.636,293.355
4,Hf1 Zr2 Ta4 W1 C8,"Full Formula (Hf1 Zr2 Ta4 W1 C8)
Reduced Formula: HfZr2Ta4WC8
abc   :   9.079606   4.527895   4.524702
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a    b     c
---  ----  ---------  ---  ----
  0  C     -0         0.5   0
  1  C      0.5       0.5   0
  2  C      0.25443   0     0
  3  C      0.74557   0    -0
  4  C     -0         0     0.5
  5  C      0.5       0     0.5
  6  C      0.25092   0.5   0.5
  7  C      0.74908   0.5   0.5
  8  Ta     0.5       0     0
  9  Ta    -0         0.5   0.5
 10  Ta     0.255194  0     0.5
 11  Ta     0.744806  0     0.5
 12  Zr     0.252627  0.5   0
 13  Zr     0.747373  0.5   0
 14  Hf    -0         0     0
 15  W      0.5       0.5   0.5",501.315,205.298,299.411
5,Hf1 Zr2 Ta4 Cr1 C8,"Full Formula (Hf1 Zr2 Ta4 Cr1 C8)
Reduced Formula: HfZr2Ta4CrC8
abc   :   9.047120   4.518595   4.508051
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a    b     c
---  ----  ---------  ---  ----
  0  C     -0         0.5  -0
  1  C      0.5       0.5  -0
  2  C      0.255229  0     0
  3  C      0.744771  0     0
  4  C     -0         0     0.5
  5  C      0.5       0     0.5
  6  C      0.251412  0.5   0.5
  7  C      0.748588  0.5   0.5
  8  Ta     0.5       0    -0
  9  Ta    -0         0.5   0.5
 10  Ta     0.261018  0     0.5
 11  Ta     0.738982  0     0.5
 12  Zr     0.255877  0.5   0
 13  Zr     0.744123  0.5   0
 14  Hf    -0         0    -0
 15  Cr     0.5       0.5   0.5",470.419,192.217,283.723
6,Zr2 Ta4 Nb1 V1 C8,"Full Formula (Zr2 Ta4 Nb1 V1 C8)
Reduced Formula: Zr2Ta4NbVC8
abc   :   8.975690   4.506798   4.505980
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a     b     c
---  ----  ---------  ----  ----
  0  C     -0          0.5   0
  1  C      0.5        0.5   0
  2  C      0.249014  -0     0
  3  C      0.750986  -0    -0
  4  C     -0          0     0.5
  5  C      0.5        0     0.5
  6  C      0.248029   0.5   0.5
  7  C      0.751971   0.5   0.5
  8  Ta     0.5        0     0
  9  Ta    -0          0.5   0.5
 10  Ta     0.242617   0     0.5
 11  Ta     0.757383   0     0.5
 12  Zr     0.246989   0.5   0
 13  Zr     0.753011   0.5   0
 14  V     -0          0     0
 15  Nb     0.5        0.5   0.5",481.444,196.37,292.695
7,Zr2 Ta4 Ti1 V1 C8,"Full Formula (Zr2 Ta4 Ti1 V1 C8)
Reduced Formula: Zr2Ta4TiVC8
abc   :   8.961756   4.484385   4.489411
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP           a     b     c
---  ----  --------  ----  ----
  0  C     0          0.5   0
  1  C     0.5        0.5   0
  2  C     0.24841    0    -0
  3  C     0.75159    0    -0
  4  C     0          0     0.5
  5  C     0.5        0     0.5
  6  C     0.249693   0.5   0.5
  7  C     0.750307   0.5   0.5
  8  Ta    0.5        0     0
  9  Ta    0          0.5   0.5
 10  Ta    0.244664  -0     0.5
 11  Ta    0.755336  -0     0.5
 12  Zr    0.24817    0.5   0
 13  Zr    0.75183    0.5   0
 14  V     0          0     0
 15  Ti    0.5        0.5   0.5",458.925,186.049,286.843
8,Zr2 Ta4 V1 Mo1 C8,"Full Formula (Zr2 Ta4 V1 Mo1 C8)
Reduced Formula: Zr2Ta4VMoC8
abc   :   8.946566   4.489308   4.490898
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a    b     c
---  ----  ---------  ---  ----
  0  C     -0         0.5   0
  1  C      0.5       0.5   0
  2  C      0.249302  0    -0
  3  C      0.750698  0    -0
  4  C      0         0     0.5
  5  C      0.5       0     0.5
  6  C      0.246104  0.5   0.5
  7  C      0.753896  0.5   0.5
  8  Ta     0.5       0     0
  9  Ta    -0         0.5   0.5
 10  Ta     0.246608  0     0.5
 11  Ta     0.753392  0     0.5
 12  Zr     0.248882  0.5   0
 13  Zr     0.751118  0.5   0
 14  V     -0         0     0
 15  Mo     0.5       0.5   0.5",491.168,200.546,297.221
9,Zr2 Ta4 V1 W1 C8,"Full Formula (Zr2 Ta4 V1 W1 C8)
Reduced Formula: Zr2Ta4VWC8
abc   :   8.937772   4.490241   4.487755
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (16)
  #  SP            a     b     c
---  ----  ---------  ----  ----
  0  C     -0          0.5   0
  1  C      0.5        0.5   0
  2  C      0.249245  -0    -0
  3  C      0.750755  -0     0
  4  C     -0         -0     0.5
  5  C      0.5       -0     0.5
  6  C      0.249095   0.5   0.5
  7  C      0.750905   0.5   0.5
  8  Ta     0.5       -0     0
  9  Ta    -0          0.5   0.5
 10  Ta     0.244717  -0     0.5
 11  Ta     0.755283  -0     0.5
 12  Zr     0.248028   0.5  -0
 13  Zr     0.751972   0.5  -0
 14  V      0         -0     0
 15  W      0.5        0.5   0.5",506.062,207.199,302.525
