,formula,structure,young_modulus,bulk_modulus,shear_modulus,hardness
0,Hf1 Cr3 C4,"Full Formula (Hf1 Cr3 C4)
Reduced Formula: HfCr3C4
abc   :   4.250008   4.250008   4.250008
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C     -0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  Cr    -0     0.5   0.5
  6  Cr     0.5  -0     0.5
  7  Hf     0.5   0.5  -0",389.372,288.436,152.694,14.87
1,Cr3 Mo1 C4,"Full Formula (Cr3 Mo1 C4)
Reduced Formula: Cr3MoC4
abc   :   4.166834   4.166834   4.166834
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0     0
  5  Cr    -0     0.5   0.5
  6  Cr     0.5   0     0.5
  7  Mo     0.5   0.5   0",415.446,335.457,160.578,13.364
2,Hf1 Cr2 Mo1 C4,"Full Formula (Hf1 Cr2 Mo1 C4)
Reduced Formula: HfCr2MoC4
abc   :   4.311055   4.328722   4.328722
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0     0
  5  Cr    -0     0.5   0.5
  6  Hf     0.5  -0     0.5
  7  Mo     0.5   0.5   0",405.053,296.66,159.164,15.595
13,Hf1 Nb1 Cr2 C4,"Full Formula (Hf1 Nb1 Cr2 C4)
Reduced Formula: HfNb(CrC2)2
abc   :   4.333543   4.371472   4.371472
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b    c
---  ----  ---  ---  ---
  0  C     0    0.5  0
  1  C     0.5  0    0
  2  C     0    0    0.5
  3  C     0.5  0.5  0.5
  4  Cr    0    0    0
  5  Cr    0    0.5  0.5
  6  Hf    0.5  0    0.5
  7  Nb    0.5  0.5  0",424.355,277.584,170.395,19.639
14,Ta3 Cr1 C4,"Full Formula (Ta3 Cr1 C4)
Reduced Formula: Ta3CrC4
abc   :   4.405594   4.405594   4.405594
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5   0     0
  2  C      0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr    -0     0    -0
  5  Ta    -0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  Ta     0.5   0.5  -0",497.59,328.912,199.377,21.448
15,Ta2 Ti1 Cr1 C4,"Full Formula (Ta2 Ti1 Cr1 C4)
Reduced Formula: Ta2TiCrC4
abc   :   4.369714   4.369714   4.361220
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0     0
  5  Ta    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  Ti    0.5   0.5  -0",508.107,312.277,206.746,24.676
16,Ta2 V1 Cr1 C4,"Full Formula (Ta2 V1 Cr1 C4)
Reduced Formula: Ta2VCrC4
abc   :   4.337549   4.337549   4.323245
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C     -0     0.5  -0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  Ta    -0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  V      0.5   0.5  -0",486.849,320.748,195.204,21.261
17,Ta2 Cr1 W1 C4,"Full Formula (Ta2 Cr1 W1 C4)
Reduced Formula: Ta2CrWC4
abc   :   4.373748   4.373748   4.379004
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5  -0
  1  C      0.5   0    -0
  2  C      0     0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0     0     0
  5  Ta    -0     0.5   0.5
  6  Ta     0.5  -0     0.5
  7  W      0.5   0.5   0",513.369,341.531,205.434,21.655
18,Zr1 Ta2 Cr1 C4,"Full Formula (Zr1 Ta2 Cr1 C4)
Reduced Formula: ZrTa2CrC4
abc   :   4.451696   4.451696   4.471289
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a     b     c
---  ----  ---  ----  ----
  0  C     0     0.5  -0
  1  C     0.5  -0    -0
  2  C     0    -0     0.5
  3  C     0.5   0.5   0.5
  4  Cr    0    -0     0
  5  Ta    0     0.5   0.5
  6  Ta    0.5  -0     0.5
  7  Zr    0.5   0.5   0",479.69,292.667,195.5,24.068
19,Ta1 Ti2 Cr1 C4,"Full Formula (Ta1 Ti2 Cr1 C4)
Reduced Formula: TaTi2CrC4
abc   :   4.315222   4.326745   4.326745
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP       a     b     c
---  ----  ----  ----  ----
  0  C      0     0.5   0
  1  C      0.5  -0    -0
  2  C     -0    -0     0.5
  3  C      0.5   0.5   0.5
  4  Cr     0    -0     0
  5  Ta     0     0.5   0.5
  6  Ti     0.5  -0     0.5
  7  Ti     0.5   0.5   0",471.776,296.181,191.076,22.646
